עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
4VIP,מירי כהן,50,נשואה+4,גבעת אולגה,נ,47,8,1
4VIP,תמיר ורדי,46,רווק+2,יהוד,ז,57,9,1
4VIP,"יעקב ""ג'קו"" אייזנברג",40,רווק,נתניה,ז,40,7,1
4VIP,רועי לולו,46,רווק,תל אביב,ז,16,2,1
4VIP,ציפי רומנו,41,מאורסת+2,רמת השרון,נ,24,4,1
4VIP,שרית פולק,30,נשואה,חיפה,נ,57,9,1
4VIP,טיטי איינאו,30,בזוגיות,תל אביב,נ,52,8,1
4VIP,אורן חזן,39,נשוי+2,מעלה אדומים,ז,57,9,1
4VIP,דנה רון,49,בזוגיות+2,תל אביב,נ,19,3,1
4VIP,דנית גרינברג,29,מאורסת,פתח תקווה,נ,5,6,5
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
12,קאזם חלילה,28,רווק,תל אביב,ז,89,14,1
12,דינה ערמי שמחי,58,גרושה+5,ראש העין,נ,68,11,1
12,דיאן שוורץ,23,רווקה,תל אביב,נ,55,9,1
12,נתנאל רודניצקי,31,רווק,רמת גן,ז,103,15,1
12,מרינה קוזנצובה,20,בזוגיות,גבעתיים,נ,82,13,1
12,אליאב טעטי,32,רווק,ראשון לציון,ז,33,6,1
12,ריוואה רסלאן,26,רווקה,קריית שמונה,נ,96,15,1
12,שחף רז,34,רווק,תל אביב,ז,103,15,1
12,שרין טובה אברהם,30,רווקה,תל אביב,נ,82,13,1
12,אופק לוי,21,רווק,תל אביב,ז,82,13,1
12,בר נעה כהן,32,רווקה+1,ירושלים,נ,103,15,1
12,דניאל מלכה,22,רווק,תל אביב,ז,94,14,1
12,רחל בורטה,70,גרושה+2,תל אביב,נ,12,3,1
12,אילנה טרננקו,31,רווקה+1,חיפה,נ,103,15,1
12,דיאנה טרננקו,32,רווקה+1,חיפה,נ,26,5,1
12,שרון בניפוסי,27,רווק,בית שאן,ז,40,7,1
12,טליה עובדיה,29,רווקה,ראשון לציון,נ,103,15,1
12,עמרי אלפיה,26,רווק,תל אביב,ז,19,4,2
12,דנה אמסלם,23,רווקה,חיפה,נ,17,10,7
12,דוד מהצרי,63,נשוי בשנית+4,בית עריף,ז,21,10,7
12,ליה טאי אהרוני,25,בזוגיות,פתח תקווה,נ,30,12,7
12,לירן רוזן,31,רווקה,תל אביב,נ,21,10,7
12,משה קוגמן,31,גרוש+1,באר שבע,ז,42,13,8
12,דרור רוקנשטיין,45,גרוש+1,גן יבנה,ז,51,15,9
עונה,שם מלא,גיל,סטטוס,עיר מגורים,מין,Days in game,week eliminated,entered week
13,"יעקב ""יענקי"" גולדהבר",20,רווק,בני ברק,ז,104,16,1
13,יובל מעתוק,28,רווקה,תל אביב,נ,104,16,1
13,שניר ניסים בורגיל,27,רווק,עומר,ז,104,16,1
13,ניקול אורי בוטביניק,21,רווקה,נשר,נ,54,9,1
13,רוי רייניש,26,רווק,תל אביב,ז,13,3,1
13,גיא איתן,33,רווק,תל אביב,ז,35,7,1
13,אתי ייטב,68,נשואה+3,מנחמיה,נ,75,12,1
13,לין אלפי,21,רווקה+1,הרצליה,נ,46,8,1
13,אברהם אקלום,27,רווק,טירת הכרמל,ז,100,16,1
13,גל קספרס,37,גרושה+3,הרצליה,נ,26,5,1
13,לרה מטודי,55,גרושה+3,אשקלון,נ,41,8,1
13,יובל לוי,32,רווקה,יפו,נ,69,11,1
13,עידן מורד,26,רווק,חיפה,ז,19,4,1
13,שי עפרי,23,רווקה,ראשון לציון,נ,96,15,1
13,בן ויארניק,32,נשוי+2,אלפי מנשה,ז,56,10,1
13,סתיו קצין,33,גרושה+2,אריאל,נ,104,16,1
13,ספיר בורגיל,30,רווקה,עומר,נ,82,13,1
13,אלון חובל,24,רווק,אשדוד,ז,33,6,1
